;order;family;n;mean_c;median_c;sd_c;min_c;max_c;source
Platyplectrum_ornatum;Anura;Limnodynastidae;1;0.95;0.95;NA;0.95;0.95;gsDB
Plethodon_cinereus;Urodela;Plethodontidae;9;23.02777778;22.64;2.014508487;20;26.2;gsDB
Plethodon_dunni;Urodela;Plethodontidae;3;41.4;38.8;5.301886457;37.9;47.5;gsDB
Plethodon_elongatus;Urodela;Plethodontidae;4;32.915;33.63;1.545412566;30.6;33.8;gsDB
Plethodon_glutinosus;Urodela;Plethodontidae;7;29.02428571;28;6.526448389;22.5;43;gsDB
Plethodon_hoffmani;Urodela;Plethodontidae;1;21.4;21.4;NA;21.4;21.4;gsDB
Plethodon_jordani;Urodela;Plethodontidae;3;28.96666667;27.8;6.528654787;23.1;36;gsDB
Plethodon_larselli;Urodela;Plethodontidae;2;48.55;48.55;1.343502884;47.6;49.5;gsDB
Plethodon_neomexicanus;Urodela;Plethodontidae;1;30.7;30.7;NA;30.7;30.7;gsDB
Plethodon_ouachitae;Urodela;Plethodontidae;1;33.7;33.7;NA;33.7;33.7;gsDB
Plethodon_richmondi;Urodela;Plethodontidae;2;20.65;20.65;0.353553391;20.4;20.9;gsDB
Plethodon_shenandoah;Urodela;Plethodontidae;1;18.2;18.2;NA;18.2;18.2;gsDB
Plethodon_vandykei;Urodela;Plethodontidae;1;69.3;69.3;NA;69.3;69.3;gsDB
Plethodon_vehiculum;Urodela;Plethodontidae;4;37.935;38.05;2.084442371;35.6;40.04;gsDB
Plethodon_wehrlei;Urodela;Plethodontidae;2;24.2;24.2;5.515432893;20.3;28.1;gsDB
Plethodon_welleri;Urodela;Plethodontidae;1;22.6;22.6;NA;22.6;22.6;gsDB
Plethodon_yonahlossee;Urodela;Plethodontidae;2;30.75;30.75;7.566042559;25.4;36.1;gsDB
Plethodontohyla_notosticta;Anura;Microhylidae;1;5.05;5.05;NA;5.05;5.05;gsDB
Pleurodeles_nebulosus;Urodela;Salamandridae;1;27.3;27.3;NA;27.3;27.3;gsDB
Pleurodeles_waltl;Urodela;Salamandridae;10;22.37945148;23.16;4.643241005;14.77;28.0153311;EBD
Pleurodema_bibroni;Anura;Leptodactylidae;1;2.56;2.56;NA;2.56;2.56;gsDB
Praslinia_cooperi;Gymnophiona;Indotyphlidae;3;7.165884433;7.356226236;0.654500207;6.43731159;7.704115472;EBD
Pristimantis_chiastonotus;Anura;Craugastoridae;1;3.14;3.14;NA;3.14;3.14;gsDB
Pristimantis_marmoratus;Anura;Craugastoridae;1;2.9;2.9;NA;2.9;2.9;gsDB
Probreviceps_macrodactylus;Anura;Brevicipitidae;1;7.008320399;7.008320399;NA;7.008320399;7.008320399;EBD
Proceratophrys_appendiculata;Anura;Odontophrynidae;1;2.15;2.15;NA;2.15;2.15;gsDB
Proceratophrys_boiei;Anura;Odontophrynidae;1;2.42;2.42;NA;2.42;2.42;gsDB
Proteus_anguinus;Urodela;Proteidae;4;49.395;48.84;1.418579101;48.4;51.5;gsDB
Pseudacris_brimleyi;Anura;Hylidae;1;4.14;4.14;NA;4.14;4.14;gsDB
Pseudacris_crucifer;Anura;Hylidae;1;3.62;3.62;NA;3.62;3.62;gsDB
Pseudacris_nigrita;Anura;Hylidae;1;4.05;4.05;NA;4.05;4.05;gsDB
Pseudacris_ocularis;Anura;Hylidae;1;4.6;4.6;NA;4.6;4.6;gsDB
Pseudacris_ornata;Anura;Hylidae;1;3.82;3.82;NA;3.82;3.82;gsDB
Pseudacris_triseriata;Anura;Hylidae;1;4.37;4.37;NA;4.37;4.37;gsDB
Pseudis_paradoxa;Anura;Hylidae;1;1.54;1.54;NA;1.54;1.54;gsDB
Pseudobranchus_axanthus;Urodela;Sirenidae;1;48;48;NA;48;48;gsDB
Pseudobranchus_striatus;Urodela;Sirenidae;3;46.79333333;45.5;2.344809871;45.38;49.5;gsDB
Pseudoeurycea_brunnata;Urodela;Plethodontidae;1;42.1;42.1;NA;42.1;42.1;gsDB
Pseudoeurycea_juarezi;Urodela;Plethodontidae;1;27.2;27.2;NA;27.2;27.2;gsDB
Pseudoeurycea_leprosa;Urodela;Plethodontidae;1;27.8;27.8;NA;27.8;27.8;gsDB
Pseudoeurycea_lineola;Urodela;Plethodontidae;1;30.5;30.5;NA;30.5;30.5;gsDB
Pseudoeurycea_melanomolga;Urodela;Plethodontidae;1;39.7;39.7;NA;39.7;39.7;gsDB
Pseudoeurycea_rex;Urodela;Plethodontidae;1;36.9;36.9;NA;36.9;36.9;gsDB
Pseudoeurycea_robertsi;Urodela;Plethodontidae;1;52.4;52.4;NA;52.4;52.4;gsDB
Pseudoeurycea_smithi;Urodela;Plethodontidae;1;40.3;40.3;NA;40.3;40.3;gsDB
Pseudopaludicola_mystacalis;Anura;Leptodactylidae;1;2.42;2.42;NA;2.42;2.42;gsDB
Pseudophryne_bibronii;Anura;Myobatrachidae;1;8.75;8.75;NA;8.75;8.75;gsDB
Pseudotriton_montanus;Urodela;Plethodontidae;3;23.26666667;23.25;0.028867513;23.25;23.3;gsDB
